message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post2851087	0.8	antodaz	Italy and italian	L1	post2850975	ljsilver70	Italiano	L1
post6520729	0.85	MünchnerFax	Italian, Italy	L1	post6520607	Montesacro	Italiano	L1
post16823518	0.59	bearded	Italian	L1	post16822710	turtle87crociato	Italiano	L1
post16801724	0.85	Pugnator	Neapoilitan (Naples) / Italian (Italy)	L1	post16801614	GrantlerDiMonaco	Boarisch (Bavarian) - Bavaria/Germany	L2
post16796395	0.81	TheCrociato91	Italian - Northern Italy	L1	post16796185	googs185	USA, English	L2
post16702477	0.74	Necsus	Italian (Italy)	L1	post16702242	LETUSHUZI	汉语	L2
post16757748	0.7	Necsus	Italian (Italy)	L1	post16757410	marcogaiotto	Italian	L1
post16749525	0.68	Palmiro Premoli	Italiano	L1	post16749470	barking fellows	italiano e romagnolo	L1
post16679149	0.77	Anja.Ann	Italian	L1	post16677249	deserto	chinese	L2
post2750496	0.73	Saoul	Italian	L1	post2750412	Dulcinea	Italy Italian	L1
post16683074	0.76	bearded	Italian	L1	post16682807	GabrielH	Portuguese - Brazil	L2
post16651320	0.74	GabrielH	Portuguese - Brazil	L2	post16650754	wloskielove	polish	L2
post16669207	0.85	bearded	Italian	L1	post16668788	aribaccy	italiano - italia	L1
post16663331	0.81	bearded	Italian	L1	post16662580	francisgranada	Hungarian	L2
post16717794	0.72	bearded	Italian	L1	post16717270	Poliglottesco	English - United States	L2
post16644095	0.71	bearded	Italian	L1	post16644052	GabrielH	Portuguese - Brazil	L2
post1083874	0.63	Jana337	čeština	L2	post1083845	adritabares	spagnolo	L2
post16545788	0.74	Tellure	Italian	L1	post16545670	fsm*	English - US	L2
post16543109	0.76	bearded	Italian	L1	post16543009	Jesus_with_a_six_pack	English - South Africa	L2
post12958941	0.69	Connie Eyeland	Italiano	L1	post12958655	assustalegrador	Norwegian	L2
post746485	0.84	winnie	italy, italian	L1	post746476	ColbyR	US - English	L2
post16492700	0.85	Pugnator	Neapoilitan (Naples) / Italian (Italy)	L1	post16492606	LaBeatrice	Portuguese - Brazil	L2
post16430113	0.8	Palmiro Premoli	Italiano	L1	post16429994	papillon2606	French	L2
post16390937	0.78	alfaalfa	italiano	L1	post16390313	vtbb	English - USA	L2
post16367599	0.7	bearded	Italian	L1	post16367532	barking fellows	italiano e romagnolo	L1
post16337698	0.62	Necsus	Italian (Italy)	L1	post16337546	Gabriel Aparta	Español - Venezuela	L2
post15724653	0.65	Nino83	Italian	L1	post15724589	GabrielH	Portuguese - Brazil	L2
post8122673	0.75	panzona	Italian	L1	post8122584	zipp404	Bilingual English|Español	L2
post5308605	0.71	giusyna	italian	L1	post5308345	Dulcinea	Italy Italian	L1
post16313375	0.71	bearded	Italian	L1	post16312932	Davide01	Italiano	L1
post16235645	0.84	Paulfromitaly	Italian	L1	post16235430	Floridsdorfer	Italian, Spanish, Sardinian (trilingual)	L1
post16238043	0.79	King Crimson	Italiano	L1	post16237791	Wilson Díaz	Español- colombia	L2
post16214428	0.81	dragonseven	italiano	L1	post16213584	Vet1	Russian	L2
post16158380	0.77	Anja.Ann	Italian	L1	post16158160	giginho	Italiano & Piemontese	L1
post2582090	0.77	niklavjus	Italiano (Italia)	L1	post2581143	mauro63	spanish/italian - Argentina	L1
post16094682	0.71	quasi.stellar	italiano - italiano	L1	post16093842	L'aura che tu respiri	English - USA	L2
post16094251	0.8	bearded	Italian	L1	post16094040	Wilson Díaz	Español- colombia	L2
post16132137	0.69	Necsus	Italian (Italy)	L1	post16132052	Marmellata	ita - italia	L1
post16079900	0.74	bearded	Italian	L1	post16079141	romolasgarai	English - UK	L2
post16047737	0.81	bearded	Italian	L1	post16047410	nenig	Italian	L1
post16034850	0.67	dragonseven	italiano	L1	post16034724	verbalista	Slovenian	L2
post15985854	0.64	quasi.stellar	italiano - italiano	L1	post15985624	Fedee	Italian - Italy	L1
post16036238	0.84	Anja.Ann	Italian	L1	post16035487	Cliff Barnes	German	L2
post16022569	0.49	Nino83	Italian	L1	post16022204	aussgirl	English	L2
post15976339	0.69	bearded	Italian	L1	post15975672	pomela	Armenian	L2
post15912990	0.55	Aleksander Klau	Italian	L1	post15912596	maddalenuccia	polish	L2
post15809141	0.7	Landslide89	Italiano	L1	post15809127	Pugnator	Neapoilitan (Naples) / Italian (Italy)	L1
post15869266	0.82	Necsus	Italian (Italy)	L1	post15868947	bearded	Italian	L1
post15921480	0.71	Pugnator	Neapoilitan (Naples) / Italian (Italy)	L1	post15921371	dragonseven	italiano	L1
post14084062	0.73	Odysseus54	Italian - Marche	L1	post14083980	Giandeibrughi	Español (España)	L2
post2591263	0.63	saia	Italian - Italy	L1	post2590876	wednesday	Croatia, croatian	L2
post15780838	0.75	giginho	Italiano & Piemontese	L1	post15780754	Dgbng	Italiano - Italia	L1
post7080312	0.69	chiara1	italian	L1	post7079787	nevevento	chinese	L2
post15687028	0.69	Nino83	Italian	L1	post15686727	Pugnator	Neapoilitan (Naples) / Italian (Italy)	L1
post15669949	0.73	dragonseven	italiano	L1	post15669860	mimimarie	Japanese	L2
post15636338	0.8	frugnaglio	Italian	L1	post15636267	lluvioso1	Türkçe	L2
post15631588	0.73	quasi.stellar	italiano - italiano	L1	post15631309	emorycook	English-U.S.A	L2
post15555782	0.76	bearded	Italian	L1	post15554879	francisgranada	Hungarian	L2
post11507110	0.52	SignorinaSignificante	Italian	L1	post11506937	Eáránë	Belgium, Dutch (Flemish)	L2
post15633826	0.74	Pegasillo	Italian - Italy	L1	post15633709	Maryquilla	Spanish	L2
post15577836	0.72	Nino83	Italian	L1	post15577708	susannamolla	olandese	L2
post14168092	0.69	Sempervirens	italiano	L1	post14167658	pizzi	Italian, Italy	L1
post15566673	0.74	bearded	Italian	L1	post15566349	Freikater	Taiwan  - cinese	L2
post1547782	0.81	Necsus	Italian (Italy)	L1	post1547465	Akire72	Italian - Italy	L1
post15489594	0.64	Nino83	Italian	L1	post15489542	Italian@BWU	Italian (Torino,Italy & Cleveland, OHIO,	L1
post15440134	0.79	ohbice	italiano	L1	post15440005	vampirodolce	Italian	L1
post15457283	0.74	ohbice	italiano	L1	post15456770	Bradley10D	American English	L2
post15431856	0.72	SamantaPreviti	Italian	L1	post15431551	silvana_th	thai - thailand	L2
post8963591	0.77	Necsus	Italian (Italy)	L1	post8963116	vivanacho	Español	L2
post6475397	0.8	MünchnerFax	Italian, Italy	L1	post6473805	effeundici	Italian - Tuscany	L1
post3878454	0.88	Necsus	Italian (Italy)	L1	post3878073	ancuta	Romanian	L2
post15327739	0.79	dragonseven	italiano	L1	post15322650	giginho	Italiano & Piemontese	L1
post15265261	0.77	Necsus	Italian (Italy)	L1	post15264620	francisgranada	Hungarian	L2
post15310424	0.8	dragonseven	italiano	L1	post15309914	Curious33	Spanish of Spain	L2
post1525393	0.78	riccio	Italia italiano	L1	post1506227	Necsus	Italian (Italy)	L1
post14959484	0.82	Toadino2	Italian - Rome	L1	post14951319	Paulfromitaly	Italian	L1
post15263812	0.68	frugnaglio	Italian	L1	post15263378	bearded	Italian	L1
post9657652	0.75	ric.nic	Veneto, italian	L1	post9657557	federicoft	Italian	L1
post9679702	0.76	ric.nic	Veneto, italian	L1	post9679618	federicoft	Italian	L1
post1319860	0.78	cla07	Italy - Italian	L1	post1319107	CriHart	Romanian	L2
post15201206	0.72	Necsus	Italian (Italy)	L1	post15201181	passola92	italian-italia	L1
post15185443	0.81	Backstreets	Italian	L1	post15185048	zonazona	serbian	L2
post5115656	0.85	rainbowizard	Italian - Italy	L1	post5115644	Angel.Aura	Italian	L1
post15121589	0.88	bearded	Italian	L1	post15121120	flasa	Italiano	L1
post15127732	0.78	Necsus	Italian (Italy)	L1	post15127282	YondCassius	English - Australian	L2
post15102190	0.71	Moradin	Italian/English(CAN)- bilingual	L1	post15101803	Davide'80	Italiano	L1
post15079015	0.65	bearded	Italian	L1	post15077880	Feainn	Italian & Venetian	L1
post15080586	0.5	Nino83	Italian	L1	post15080035	bleuboia	English(New Jersey/New York regional)	L2
post15006736	0.77	Necsus	Italian (Italy)	L1	post15004638	AdamM88	British English	L2
post15016924	0.72	Feainn	Italian & Venetian	L1	post15016858	italianbirder	Italian	L1
post14999771	0.77	Necsus	Italian (Italy)	L1	post14999608	Tristano	English - USA	L2
post14995624	0.84	Necsus	Italian (Italy)	L1	post14995522	johngiovanni	English	L2
post14990249	0.77	Necsus	Italian (Italy)	L1	post14990152	Feainn	Italian & Venetian	L1
post14984499	0.78	Sempervirens	italiano	L1	post14983936	lettore	russo	L2
post14974386	0.77	Sempervirens	italiano	L1	post14973981	francisgranada	Hungarian	L2
post2609780	0.81	walnut	Italy - Italian	L1	post2609455	danalto	Italy - Italian	L1
post14941142	0.76	Sempervirens	italiano	L1	post14940916	gioia-fidèle	Inglese	L2
post11718963	0.71	luway	Italian	L1	post11718864	elemika	Russian	L2
post14822718	0.76	bearded	Italian	L1	post14822627	ohbice	italiano	L1
post14790225	0.78	giginho	Italiano & Piemontese	L1	post14790147	Nino83	Italian	L1
post14755924	0.6	zipp404	Bilingual English|Español	L2	post14755842	Fiordaliso1	Turkish	L2
post14753003	0.78	stella_maris_74	Italian - Italy	L1	post14752984	zipp404	Bilingual English|Español	L2
post14752921	0.6	zipp404	Bilingual English|Español	L2	post14752805	jchap27	English - USA	L2
post14697593	0.76	ohbice	italiano	L1	post14697322	crubsc	Portuguese	L2
post14695524	0.62	zipp404	Bilingual English|Español	L2	post14695460	Cassandra07	uzbeko	L2
post14689536	0.72	zipp404	Bilingual English|Español	L2	post14688870	abarone	english-england	L2
post14677747	0.88	fedeeffe	Italiano	L1	post14677213	Fiordaliso1	Turkish	L2
post14644282	0.63	alfaalfa	italiano	L1	post14643862	armour65	United States English	L2
post14673579	0.61	ohbice	italiano	L1	post14673388	zipp404	Bilingual English|Español	L2
post14651235	0.71	Sempervirens	italiano	L1	post14651129	IVO_GIU	chinese	L2
post14613184	0.63	giuggiola91	Italian	L1	post14613000	pedro30	italian	L1
post14605084	0.67	_Marta_	italiano	L1	post14605018	IVO_GIU	chinese	L2
post14596950	0.65	chipulukusu	Italian	L1	post14596920	Ivan Ariel	Spanish	L2
post14451485	0.78	chipulukusu	Italian	L1	post14451406	konradin2003	Italian	L1
post14293583	0.69	Ragio	Italiano	L1	post14293520	francisgranada	Hungarian	L2
post14432885	0.71	chipulukusu	Italian	L1	post14432835	crismooi	Italian	L1
post14421006	0.76	stella_maris_74	Italian - Italy	L1	post14420833	SugarHigh	English - Australia	L2
post14408261	0.7	Leo Guelphus	Italian - Marchigiano	L1	post14407923	sarahsmile310	English British	L2
post14294589	0.77	dragonseven	italiano	L1	post14294191	Sempervirens	italiano	L1
post14259560	0.65	giginho	Italiano & Piemontese	L1	post14259288	keramus	Persian	L2
post14215686	0.7	dragonseven	italiano	L1	post14215318	superila84	italian	L1
post14186888	0.7	Sempervirens	italiano	L1	post14186645	pizzi	Italian, Italy	L1
post14192522	0.59	giginho	Italiano & Piemontese	L1	post14192422	Nicolai	Danish	L2
post14197823	0.6	Nino83	Italian	L1	post14196150	Warder	Czech	L2
post14103172	0.71	giginho	Italiano & Piemontese	L1	post14101313	pburtsov	Finnish	L2
post14046317	0.68	bearded	Italian	L1	post14046120	Tristano	English - USA	L2
post14030201	0.68	dragonseven	italiano	L1	post14029874	gintonic00	italiana	L1
post13199998	0.74	Connie Eyeland	Italiano	L1	post13199936	pizzi	Italian, Italy	L1
post14020918	0.63	valbe_36	Italian	L1	post14020802	Psychodelica	Russian	L2
post13999985	0.69	dragonseven	italiano	L1	post13999815	virgilio42	Germa/Italian bilingual	L1
post13989524	0.79	stella_maris_74	Italian - Italy	L1	post13989387	ohbice	italiano	L1
post13967797	0.69	stella_maris_74	Italian - Italy	L1	post13967324	gnurreo92	italian	L1
post13957417	0.84	bearded	Italian	L1	post13957340	gnurreo92	italian	L1
post13905174	0.49	Nino83	Italian	L1	post13904964	elenasusu	chinese	L2
post13896844	0.59	Nino83	Italian	L1	post13896519	Babbit	Italian	L1
post13749479	0.59	dôghen	italiano	L1	post13749397	Asnaj	Croatian	L2
post13899795	0.68	giginho	Italiano & Piemontese	L1	post13899442	heliojorge	Spain Spanish	L2
post13876804	0.66	Pat (√2)	Italiano	L1	post13875918	Qutenattapol	Thai	L2
post13850485	0.53	Paulfromitaly	Italian	L1	post13850464	gnurreo92	italian	L1
post13834911	0.63	Nino83	Italian	L1	post13834564	flavy989	Italian	L1
post13856905	0.54	Paulfromitaly	Italian	L1	post13856763	Elrioancho	ITALY, ITALIAN	L1
post1229465	0.72	vannaquimis	Italy	L1	post1225174	Paulfromitaly	Italian	L1
post13800534	0.77	stella_maris_74	Italian - Italy	L1	post13800196	pizzi	Italian, Italy	L1
post13607181	0.76	Davide'80	Italiano	L1	post13604939	maria nicola	Italian	L1
post13745760	0.76	Luca1986	Italiano	L1	post13745664	IsaInToscana	Italian	L1
post13712541	0.81	dôghen	italiano	L1	post13712502	sacerdos	English - United States	L2
post2688840	0.8	Virtus	Italy - Italian	L1	post2688752	Il Medico	english  U.S.A	L2
post13706087	0.84	dragonseven	italiano	L1	post13705059	egaleo	greek	L2
post13705138	0.88	dôghen	italiano	L1	post13705077	egaleo	greek	L2
post13704949	0.83	dôghen	italiano	L1	post13704925	pizzi	Italian, Italy	L1
post13103666	0.77	Connie Eyeland	Italiano	L1	post13103526	cunegonde	Italian	L1
post13674609	0.74	dragonseven	italiano	L1	post13674438	Luiz Eduardo Brandão	Brazil/portuguese	L2
post13688828	0.66	dragonseven	italiano	L1	post13688559	Cencula	Croatian	L2
post13680902	0.73	chipulukusu	Italian	L1	post13680740	jacquesvd	Dutch	L2
post13673854	0.77	francisgranada	Hungarian	L2	post13673612	hieveryone	Castellano, Argentina	L2
post13628120	0.77	dôghen	italiano	L1	post13628090	rechtck	chinese	L2
post13637367	0.78	dôghen	italiano	L1	post13637258	aefrizzo	italiano	L1
post13617648	0.59	robin.at.night	Italian-Italy	L1	post13617011	Italic	russo	L2
post13629370	0.75	olaszinho	Central Italian	L1	post13629348	Ivan Ariel	Spanish	L2
post13585656	0.71	Sempervirens	italiano	L1	post13585620	Swisser	Mexican Spanish	L2
post13576516	0.72	chipulukusu	Italian	L1	post13576170	gfa	Italian	L1
post13574632	0.66	giginho	Italiano & Piemontese	L1	post13573371	francisgranada	Hungarian	L2
post13484626	0.66	stella_maris_74	Italian - Italy	L1	post13484581	dancko	italiano	L1
post13487383	0.85	Passante	italian	L1	post13486949	dragonseven	italiano	L1
post13483069	0.64	chipulukusu	Italian	L1	post13482744	dancko	italiano	L1
post13461384	0.76	Connie Eyeland	Italiano	L1	post13461206	silvialxk	Italian	L1
post13464729	0.77	Connie Eyeland	Italiano	L1	post13464593	Luiz Eduardo Brandão	Brazil/portuguese	L2
post13458480	0.7	Connie Eyeland	Italiano	L1	post13458224	SPR14118	Russia - Russian	L2
post13448712	0.72	Connie Eyeland	Italiano	L1	post13448560	verbalista	Slovenian	L2
post2977414	0.84	SunDraw	Veneto (Italia)	L1	post2976771	Necsus	Italian (Italy)	L1
post13408715	0.79	ohbice	italiano	L1	post13408636	Sempervirens	italiano	L1
post4427583	0.84	Necsus	Italian (Italy)	L1	post4427240	Sabrine07	Italian	L1
post13360732	0.74	ohbice	italiano	L1	post13360599	fabry2811	Italy - Italian	L1
post13350066	0.71	ohbice	italiano	L1	post13349919	cialuzzo	english	L2
post13327605	0.66	ohbice	italiano	L1	post13327290	elemika	Russian	L2
post13325559	0.78	Connie Eyeland	Italiano	L1	post13324505	Feiht	Czech	L2
post13269108	0.62	Connie Eyeland	Italiano	L1	post13268427	Capitão Gancho	Portuguese - Brazil	L2
post13249207	0.84	fedeeffe	Italiano	L1	post13248850	Pineta	German - Germany	L2
post13231122	0.77	Connie Eyeland	Italiano	L1	post13230941	annadifrancia	Italian, Slovenscina	L1
post13210684	0.78	stella_maris_74	Italian - Italy	L1	post13210600	lux_	italiano	L1
post13202182	0.73	ohbice	italiano	L1	post13202139	Chichittu	italiano	L1
post13173242	0.75	Connie Eyeland	Italiano	L1	post13172197	pizzi	Italian, Italy	L1
post13184919	0.78	Sandhinet	Italiano	L1	post13184412	sesperxes	Spanish-Spain	L2
post13053397	0.76	chlapec	Galician & Spanish-Spain	L2	post13052409	Ivan Ariel	Spanish	L2
post13033688	0.82	Connie Eyeland	Italiano	L1	post13030579	CristinaBurke	Italiano	L1
post13080246	0.68	Connie Eyeland	Italiano	L1	post13079847	makktub	Hu	L2
post13072105	0.8	Connie Eyeland	Italiano	L1	post13071921	makktub	Hu	L2
post13066720	0.66	Connie Eyeland	Italiano	L1	post13066348	sesperxes	Spanish-Spain	L2
post13064883	0.72	Connie Eyeland	Italiano	L1	post13061237	bustard	Italian	L1
post13067204	0.82	Connie Eyeland	Italiano	L1	post13066425	sesperxes	Spanish-Spain	L2
post13061244	0.69	VogaVenessian	Italiano	L1	post13060929	vallery	Russian	L2
post13049164	0.82	Anja.Ann	Italian	L1	post13048481	makktub	Hu	L2
post13054091	0.78	Anja.Ann	Italian	L1	post13053995	makktub	Hu	L2
post13052144	0.69	Connie Eyeland	Italiano	L1	post13052121	djoufreitas	português	L2
post13036025	0.82	Connie Eyeland	Italiano	L1	post13034882	assonnata	polacco	L2
post13025700	0.76	Connie Eyeland	Italiano	L1	post13025262	Hanna84	Hungarian	L2
post13023779	0.68	Connie Eyeland	Italiano	L1	post13023518	brunetti0172	Piemontese & Italiano	L1
post13016095	0.76	Connie Eyeland	Italiano	L1	post13015926	coldvolition	English	L2
post12974931	0.79	Connie Eyeland	Italiano	L1	post12974593	pampers	Serbian	L2
post1442593	0.82	Paulfromitaly	Italian	L1	post1442502	lidia1201	Serbia/serbo	L2
post1367978	0.71	gabrigabri	Italian, Italy (Torino)	L1	post1366553	lidia1201	Serbia/serbo	L2
post12909330	0.66	chipulukusu	Italian	L1	post12909001	Alxmrphi	UK English	L2
post5557356	0.79	lautaro	Español chileno, Italiano del nord	L1	post5557278	rabbit24	English	L2
post12895382	0.65	giginho	Italiano & Piemontese	L1	post12895038	daidavide	chinese	L2
post12885315	0.82	stella_maris_74	Italian - Italy	L1	post12885166	Popester	English - USA (Appalachian)	L2
post12876293	0.74	chipulukusu	Italian	L1	post12876228	Rallino	Turkish	L2
post1638719	0.78	Kraus	Italian, Italy	L1	post1637806	Manny Glenn Fernandez	Español, Cuba	L2
post12824990	0.82	Anja.Ann	Italian	L1	post12824932	bobetta07	German	L2
post12844426	0.79	Necsus	Italian (Italy)	L1	post12844236	turkjey5	English - USA	L2
post12795864	0.71	chipulukusu	Italian	L1	post12795500	brancamenta	Croatian	L2
post12744270	0.76	Sempervirens	italiano	L1	post12744133	francisgranada	Hungarian	L2
post12760895	0.72	Connie Eyeland	Italiano	L1	post12760192	Magixo	Croatian	L2
post12760859	0.72	stella_maris_74	Italian - Italy	L1	post12760110	shardaneng	italian	L1
post12726696	0.67	ohbice	italiano	L1	post12726450	elenasusu	chinese	L2
post12695942	0.83	VogaVenessian	Italiano	L1	post12691472	TakeruT	Italian	L1
post12686947	0.8	Giorgio Spizzi	Italian	L1	post12686741	Sempervirens	italiano	L1
post12687551	0.74	Giorgio Spizzi	Italian	L1	post12687339	cicabum	italian	L1
post12687474	0.81	Giorgio Spizzi	Italian	L1	post12687366	cicabum	italian	L1
post3388671	0.79	bubu7	Italiano	L1	post3386426	njnye	Italian	L1
post12628565	0.65	potolina	italian	L1	post12627815	Qwerty3781122	italiano	L1
post12652941	0.64	potolina	italian	L1	post12652566	Qwerty3781122	italiano	L1
post12620076	0.7	rainbowizard	Italian - Italy	L1	post12619616	francisgranada	Hungarian	L2
post12635332	0.78	VogaVenessian	Italiano	L1	post12635193	Geviert	Spanisch	L2
post12615407	0.59	Genoese	Italiano	L1	post12615366	Geviert	Spanisch	L2
post12605231	0.79	annadifrancia	Italian, Slovenscina	L1	post12604560	MicheleAmericano	English	L2
post12595479	0.78	VogaVenessian	Italiano	L1	post12595048	☺	italiano	L1
post12570995	0.8	Matrap	Italiano	L1	post12570773	turkjey5	English - USA	L2
post12333432	0.73	Teerex51	Italian, standard	L1	post12333333	Gommik	Italiano- Italia	L1
post12516203	0.74	stella_maris_74	Italian - Italy	L1	post12516193	aedthuio	Italian	L1
post3311429	0.75	Necsus	Italian (Italy)	L1	post3311312	britexpatswiss	Switzerland, English	L2
post12443218	0.82	longplay	italian	L1	post12443060	italtrav	English	L2
post12440076	0.68	elena73	Italian	L1	post12439723	Luis Anselmi	Venezuela - Spanish	L2
post12421620	0.74	Gommik	Italiano- Italia	L1	post12421559	RCLB	Portuguese - Brazil	L2
post11498541	0.78	luway	Italian	L1	post11498332	bieq	Spanish	L2
post12406007	0.84	Necsus	Italian (Italy)	L1	post12405965	wster	American and Canadian English	L2
post12405877	0.83	Sempervirens	italiano	L1	post12405717	Charlie89	Spanish - Spain	L2
post5491736	0.74	SunDraw	Veneto (Italia)	L1	post5491548	caterina79	Italiano	L1
post12397562	0.88	stella_maris_74	Italian - Italy	L1	post12397456	dubbioso91	italian	L1
post9328020	0.86	Giorgino	Italian	L1	post9327708	infinite sadness	italiano	L1
post12331914	0.74	Sempervirens	italiano	L1	post12331855	Paulfromitaly	Italian	L1
post12311857	0.69	pollonia	Italiano	L1	post12311651	Feiht	Czech	L2
post12301744	0.78	Giorgio Spizzi	Italian	L1	post12295322	effeundici	Italian - Tuscany	L1
post12264393	0.75	Anja.Ann	Italian	L1	post12264229	cristoforo1	polacco	L2
post12261001	0.63	Mute	Italian	L1	post12260801	Joshua P.	German	L2
post12235748	0.69	violadaprile	italian	L1	post12235709	Kakukkfu	Hungarian	L2
post12220612	0.61	violadaprile	italian	L1	post12220456	Huferka	Slovenian	L2
post11264285	0.87	belnita	Italiano	L1	post11264107	Dulcinea	Italy Italian	L1
post12214271	0.84	pollonia	Italiano	L1	post12213846	pizzi	Italian, Italy	L1
post12215016	0.81	violadaprile	italian	L1	post12214544	pizzi	Italian, Italy	L1
post12214170	0.75	francisgranada	Hungarian	L2	post12213641	violadaprile	italian	L1
post12210765	0.67	violadaprile	italian	L1	post12210681	joeychiavari	English	L2
post12175628	0.73	violadaprile	italian	L1	post12175593	framo	italiano	L1
post2794119	0.64	Necsus	Italian (Italy)	L1	post2793085	BolleBlu	Italy, Italian	L1
post12125682	0.68	violadaprile	italian	L1	post12125626	Mano 2010	Arabo	L2
post12047123	0.77	violadaprile	italian	L1	post12047090	punfete	italiano	L1
post12091697	0.75	julestof	Italian	L1	post12091564	Kjka	Italian	L1
post12036251	0.69	Anja.Ann	Italian	L1	post12036129	strofinaccio	Español - Rio de la plata	L2
post12028259	0.68	francisgranada	Hungarian	L2	post12028069	longplay	italian	L1
post4274560	0.79	Kumidan	Italia - italiano	L1	post4274178	spectrallypure	Perú, spanish	L2
