message_id	ttr	speaker	lang	ltype
post18020072	0.64	francisgranada	Hungarian	L2
post18020302	0.77	francisgranada	Hungarian	L2
post18023179	0.82	francisgranada	Hungarian	L2
post18023343	0.74	giginho	Italiano & Piemontese	L1
post18025067	0.67	GGGio	Italiano	L1
post18010863	0.65	francisgranada	Hungarian	L2
post18018501	0.63	TheCrociato91	Italian - Northern Italy	L1
post18019165	0.74	bearded	Italian	L1
post18000996	0.8	barking fellows	italiano e romagnolo	L1
post17997214	0.75	bearded	Italian	L1
post18000244	0.83	francisgranada	Hungarian	L2
post18000838	0.72	alxssandro	Italiano	L1
post18001268	0.77	bearded	Italian	L1
post17997943	0.68	ernest.m	Romanian	L2
post18000877	0.77	ernest.m	Romanian	L2
post18001045	0.73	barking fellows	italiano e romagnolo	L1
post3698045	0.78	MünchnerFax	Italian, Italy	L1
post7530310	0.82	Paolo Yogurt	Italiano, veneto - veronese	L1
post8104648	0.81	gioparte	Italian	L1
post8113307	0.69	annapo	Italian	L1
post8732944	0.78	Giuda	italian	L1
post10913914	0.84	Lighe	ITALIAN	L1
post16248421	0.79	Corrado Lampe	Italian - Italy	L1
post17993504	0.8	Frantos	Italian (Tuscan), Neapolitan	L1
post513482	0.72	alahay	Phoenicia	L2
post1441270	0.84	claudine2006	Italy Italian	L1
post1453018	0.7	Lavinia.dNP	Sicilian with Italian-French mothertongue	L1
post1454216	0.69	tie-breack	Italy	L1
post2361359	0.75	bubu7	Italiano	L1
post2361928	0.75	valy822	Italy- Italian	L1
post2361929	0.79	Saoul	Italian	L1
post2362035	0.75	gabrigabri	Italian, Italy (Torino)	L1
post2362178	0.8	MünchnerFax	Italian, Italy	L1
post2362262	0.81	Carthusian cat	Italy	L1
post2362308	0.86	Jana337	čeština	L2
post2364174	0.77	federicoft	Italian	L1
post2365522	0.79	alcesta	Serbian, Montenegro	L2
post3952213	0.83	Oluc (Yvon)	Français, English	L2
post3952298	0.69	Salegrosso	Verona (Italy)	L1
post17412506	0.82	Spinda	Cantonese, Mandarin	L2
post17412988	0.65	bearded	Italian	L1
post17414313	0.78	francisgranada	Hungarian	L2
post17983925	0.8	LETUSHUZI	汉语	L2
post17986597	0.78	francisgranada	Hungarian	L2
post17961715	0.7	Laogeodritt	Canada - English/French	L2
post17978008	0.85	Laogeodritt	Canada - English/French	L2
post16992136	0.78	dragonseven	italiano	L1
post17971980	0.66	francisgranada	Hungarian	L2
post17972502	0.62	Francesco94	Italian	L1
post17973764	0.76	francisgranada	Hungarian	L2
post17973987	0.75	francisgranada	Hungarian	L2
post17974398	0.7	Francesco94	Italian	L1
post4260798	0.83	la italianilla	Italia	L1
post4261302	0.81	SunDraw	Veneto (Italia)	L1
post4261855	0.71	alecarfi	italian	L1
post4262616	0.83	Dulcinea	Italy Italian	L1
post4262819	0.8	SunDraw	Veneto (Italia)	L1
post4268879	0.84	SunDraw	Veneto (Italia)	L1
post17969254	0.72	bearded	Italian	L1
post17971122	0.8	bearded	Italian	L1
post17968846	0.69	Francesco94	Italian	L1
post17929093	0.79	ohbice	italiano	L1
post17958824	0.82	Kalosgeros	italiano	L1
post17959610	0.74	Kalosgeros	italiano	L1
post17962767	0.76	toshiki_I	japanese	L2
post8403883	0.72	panzona	Italian	L1
post8412282	0.8	Teerex51	Italian, standard	L1
post13752101	0.79	stella_maris_74	Italian - Italy	L1
post13756904	0.84	Sempervirens	italiano	L1
post17952739	0.72	A User	Italian	L1
post17855069	0.65	victorcortes86	LatAm Spanish	L2
post17857145	0.7	Francesco94	Italian	L1
post17857179	0.67	Francesco94	Italian	L1
post17857425	0.75	bearded	Italian	L1
post17857485	0.78	Olaszinhok	Italian	L1
post17857929	0.72	dragonseven	italiano	L1
post17860246	0.71	Francesco94	Italian	L1
post17860268	0.35	marco.cur	Italian	L1
post17860420	0.55	Francesco94	Italian	L1
post17860596	0.85	dragonseven	italiano	L1
post17860681	0.75	bearded	Italian	L1
post17861285	0.58	francisgranada	Hungarian	L2
post17861763	0.76	dragonseven	italiano	L1
post17862129	0.73	Francesco94	Italian	L1
post17864914	0.73	dragonseven	italiano	L1
post17865685	0.65	francisgranada	Hungarian	L2
post17866854	0.74	Francesco94	Italian	L1
post17950817	0.68	dragonseven	italiano	L1
post17936944	0.71	egaleo	greek	L2
post17944029	0.78	Francesco94	Italian	L1
post17947038	0.81	A User	Italian	L1
post17940829	0.74	dragonseven	italiano	L1
post17936066	0.77	_Husby_	Spanish - Spain / Catalan	L2
post17936091	0.81	A User	Italian	L1
post12625991	0.79	Lorena1970	Italy, Italiano	L1
post12942132	0.78	SirIgles	Italian	L1
post12989283	0.81	smarcelli	Italy Italian	L1
post12989451	0.7	Connie Eyeland	Italiano	L1
post13014242	0.83	Gommik	Italiano- Italia	L1
post13014467	0.8	SirIgles	Italian	L1
post13036826	0.79	SirIgles	Italian	L1
post13036855	0.75	Quinzio	Italiano	L1
post17933190	0.59	MatthewEU	Italian	L1
post17934474	0.79	A User	Italian	L1
post17935107	0.75	francisgranada	Hungarian	L2
post17865537	0.62	dragonseven	italiano	L1
post17873304	0.74	bearded	Italian	L1
post17873646	0.84	dragonseven	italiano	L1
post17873786	0.63	francisgranada	Hungarian	L2
post17873956	0.8	dragonseven	italiano	L1
post17874413	0.85	Olaszinhok	Italian	L1
post17877353	0.63	Pietruzzo	Italian	L1
post17923566	0.61	dragonseven	italiano	L1
post17930630	0.74	Francesco94	Italian	L1
post17937768	0.73	dragonseven	italiano	L1
post17937911	0.79	bearded	Italian	L1
post17929903	0.91	Olaszinhok	Italian	L1
post17930587	0.71	Francesco94	Italian	L1
post17934361	0.84	bearded	Italian	L1
post2029073	0.87	Necsus	Italian (Italy)	L1
post2164188	0.87	rocamadour	Italian	L1
post9740500	0.67	vale_new	Italian - Italy	L1
post9741373	0.59	olaszinho	Central Italian	L1
post9743056	0.76	annapo	Italian	L1
post17901543	0.79	barking fellows	italiano e romagnolo	L1
post17903000	0.83	bearded	Italian	L1
post17903549	0.78	Sardokan1.0	Sardu / Italianu	L1
post17926083	0.86	Dymn	Catalan	L2
post17926256	0.8	Olaszinhok	Italian	L1
post17931637	0.75	Dymn	Catalan	L2
post17931653	0.79	TheCrociato91	Italian - Northern Italy	L1
post17932512	0.81	Olaszinhok	Italian	L1
post6907029	0.57	Hermocrates	Italian & British English (bilingual)	L1
post17924933	0.91	Hardvinus	Italian	L1
post17925422	0.69	Francesco94	Italian	L1
post17910327	0.81	Francesco94	Italian	L1
post17910566	0.78	Francesco94	Italian	L1
post17923638	0.74	dragonseven	italiano	L1
post17889223	0.68	GabrielH	Portuguese - Brazil	L2
post17917206	0.66	lorenzos	italiano	L1
post6159356	0.7	Hermocrates	Italian & British English (bilingual)	L1
post6160856	0.81	mandarina.m	Slovenian	L2
post12856082	0.68	Spaced	Italy Italian	L1
post12857417	0.76	Giorgio Spizzi	Italian	L1
post13172407	0.82	bior	italiano	L1
post17885939	0.77	brød og vann	Norway - Norwegian	L2
post17921837	0.72	bearded	Italian	L1
post17879061	0.68	ohbice	italiano	L1
post9991245	0.75	olaszinho	Central Italian	L1
post17870286	0.81	bearded	Italian	L1
post17876339	0.78	Francesco94	Italian	L1
post17876531	0.64	Sardokan1.0	Sardu / Italianu	L1
post1436781	0.78	Necsus	Italian (Italy)	L1
post1438498	0.65	Broca's Area	Italian / Italy	L1
post1438621	0.68	Necsus	Italian (Italy)	L1
post3434947	0.77	Necsus	Italian (Italy)	L1
post3435507	0.82	SunDraw	Veneto (Italia)	L1
post3439786	0.77	DavìdV	Italia	L1
post3443832	0.72	iaiax	italiano	L1
post5235025	0.76	TheFalcon	Italian; North-east dialect	L1
post8066247	0.79	Necsus	Italian (Italy)	L1
post8085425	0.8	bo-marco	Italiano Italia - Emiliano Mirandola	L1
post8086433	0.72	Linnets	italiano	L1
post8087567	0.72	bo-marco	Italiano Italia - Emiliano Mirandola	L1
post8093180	0.77	MOMO2	Italian	L1
post8093388	0.75	Uma3784	Italian	L1
post8093636	0.62	facciadipietra	Italian (northern, southern and central background)	L1
post8094115	0.7	Uma3784	Italian	L1
post8099339	0.77	Linnets	italiano	L1
post9991214	0.77	rsb	Italy, Italian	L1
post17876363	0.8	dragonseven	italiano	L1
post17872563	0.69	francisgranada	Hungarian	L2
post17872666	0.71	lorenzos	italiano	L1
post17866494	0.75	bearded	Italian	L1
post17867209	0.68	ohbice	italiano	L1
post17868453	0.78	Francesco94	Italian	L1
post5234079	0.72	Angel.Aura	Italian	L1
post5237214	0.89	SunDraw	Veneto (Italia)	L1
post5240531	0.8	saltapicchio	Italia (Roma) - Italiano	L1
post5281783	0.81	SunDraw	Veneto (Italia)	L1
post12406386	0.83	SunDraw	Veneto (Italia)	L1
post2279349	0.79	Sergiusuigres	Italy, Italiano	L1
post5565233	0.83	maria nicola	Italian	L1
post9641004	0.74	maria nicola	Italian	L1
post11660566	0.82	Pennino	Italian	L1
post11661078	0.84	luway	Italian	L1
post17838274	0.84	bearded	Italian	L1
post17852213	0.77	dragonseven	italiano	L1
post17852779	0.82	bearded	Italian	L1
post8333722	0.84	njnye	Italian	L1
post8334532	0.69	ursu-lab	italian, catalan & spanish	L1
post17851758	0.73	LETUSHUZI	汉语	L2
post17851817	0.73	lorenzos	italiano	L1
post17858022	0.72	francisgranada	Hungarian	L2
post17858117	0.8	francisgranada	Hungarian	L2
post17848260	0.73	Olaszinhok	Italian	L1
post17850172	0.72	Francesco94	Italian	L1
post17851588	0.68	dragonseven	italiano	L1
post17851597	0.77	Francesco94	Italian	L1
post17850188	0.77	nemosnemos	Italian Italy	L1
post17850422	0.61	Francesco94	Italian	L1
post17850638	0.73	lorenzos	italiano	L1
post17851365	0.56	Francesco94	Italian	L1
post17837807	0.75	dragonseven	italiano	L1
post17837777	0.66	dragonseven	italiano	L1
post17827525	0.82	bearded	Italian	L1
post17829328	0.66	ohbice	italiano	L1
post17822519	0.7	aposai	Italian - Italy	L1
post17833557	0.8	francisgranada	Hungarian	L2
post17819566	0.71	bearded	Italian	L1
post17821888	0.71	Francesco94	Italian	L1
post17822198	0.8	dragonseven	italiano	L1
post17822533	0.85	bearded	Italian	L1
post17823489	0.75	dragonseven	italiano	L1
post17823541	0.7	bearded	Italian	L1
post17825010	0.78	Francesco94	Italian	L1
post17825516	0.75	bearded	Italian	L1
post17881939	0.62	lorenzos	italiano	L1
post17809617	0.68	RD74	English - USA	L2
post17810006	0.83	dragonseven	italiano	L1
post17807274	0.73	Dariettta	Russo	L2
post17809531	0.66	Dariettta	Russo	L2
post17811223	0.77	dragonseven	italiano	L1
post17823194	0.7	Francesco94	Italian	L1
post17807797	0.72	saquiwej	Hongrois	L2
post17808014	0.79	bearded	Italian	L1
post17809975	0.76	dragonseven	italiano	L1
post17810604	0.73	ohbice	italiano	L1
post17814918	0.74	dragonseven	italiano	L1
post17786640	0.61	keramus	Persian	L2
post17814406	0.66	Myoei	Italian	L1
post17780510	0.68	bearded	Italian	L1
post17782168	0.76	bearded	Italian	L1
post17782882	0.82	bearded	Italian	L1
post17786620	0.77	dragonseven	italiano	L1
post17800763	0.71	bearded	Italian	L1
post12486383	0.75	Necsus	Italian (Italy)	L1
post17793410	0.68	bearded	Italian	L1
post17793429	0.76	symposium	Italian - Italy	L1
post17793891	0.51	Andy83	Italiano	L1
post13398405	0.77	dragonseven	italiano	L1
post13399448	0.74	Connie Eyeland	Italiano	L1
post13400830	0.85	dragonseven	italiano	L1
post13401272	0.83	dragonseven	italiano	L1
post13401558	0.74	ursu-lab	italian, catalan & spanish	L1
post13401615	0.83	dragonseven	italiano	L1
post13401834	0.75	Anaiss	Italiano - Veneto	L1
post13402455	0.85	Sempervirens	italiano	L1
post13413688	0.8	Connie Eyeland	Italiano	L1
post17784144	0.78	ohbice	italiano	L1
post17784184	0.75	Roberto Dal Molin	Italiano	L1
post16322730	0.75	naemerys	Italian	L1
post16328329	0.84	francisgranada	Hungarian	L2
post7552362	0.77	zipp404	Bilingual English|Español	L2
post17775226	0.65	symposium	Italian - Italy	L1
post17775237	0.74	symposium	Italian - Italy	L1
post17773792	0.71	TheCrociato91	Italian - Northern Italy	L1
post17751489	0.67	dragonseven	italiano	L1
post17753746	0.78	dragonseven	italiano	L1
post17755277	0.74	dragonseven	italiano	L1
post17755599	0.77	Maestrale	Russian	L2
post17756661	0.74	giginho	Italiano & Piemontese	L1
post17756719	0.6	bearded	Italian	L1
post17756720	0.85	Maestrale	Russian	L2
post17756751	0.66	giginho	Italiano & Piemontese	L1
post17773218	0.72	dragonseven	italiano	L1
post17764873	0.81	Al.ba	Italiano	L1
post17752545	0.75	TheCrociato91	Italian - Northern Italy	L1
post8585051	0.71	Sandhinet	Italiano	L1
post12837913	0.76	Necsus	Italian (Italy)	L1
post15305660	0.72	bearded	Italian	L1
post17511876	0.62	pedro_trionix	Spanish and Galician	L2
post2739131	0.74	SunDraw	Veneto (Italia)	L1
post17738064	0.77	dragonseven	italiano	L1
post17739500	0.79	bearded	Italian	L1
post17740767	0.77	dragonseven	italiano	L1
post17741099	0.7	bearded	Italian	L1
post17751405	0.8	dragonseven	italiano	L1
post17740405	0.7	astoria	italia italiano	L1
post826199	0.78	victoria luz	italy	L1
post17697114	0.79	francisgranada	Hungarian	L2
post17737768	0.84	bearded	Italian	L1
post17744334	0.74	gnommero	Italian - Italy	L1
post17743006	0.76	TheCrociato91	Italian - Northern Italy	L1
post17736488	0.74	bearded	Italian	L1
post17736560	0.8	TheCrociato91	Italian - Northern Italy	L1
post17573605	0.77	SarahJL	Italian	L1
post17737498	0.76	theartichoke	English -- Canada	L2
post9453818	0.8	elitaliano	Italia - italiano	L1
post9479912	0.81	Ruminante	Italian	L1
post9481715	0.67	ursu-lab	italian, catalan & spanish	L1
post17719770	0.77	bearded	Italian	L1
post8838614	0.83	rainbowizard	Italian - Italy	L1
post17703722	0.79	bearded	Italian	L1
post17725322	0.81	palomamapola	Italian	L1
post17722413	0.74	magosil79	italian	L1
post17728931	0.77	dragonseven	italiano	L1
post17729370	0.79	bearded	Italian	L1
post17715847	0.8	dragonseven	italiano	L1
post17716711	0.85	dragonseven	italiano	L1
post17717240	0.69	symposium	Italian - Italy	L1
post17717728	0.75	symposium	Italian - Italy	L1
post17718614	0.83	dragonseven	italiano	L1
post17721828	0.85	dragonseven	italiano	L1
post17722118	0.83	King Crimson	Italiano	L1
post17724151	0.85	dragonseven	italiano	L1
post17724223	0.73	symposium	Italian - Italy	L1
post17724291	0.82	King Crimson	Italiano	L1
post17725687	0.77	dragonseven	italiano	L1
post17725882	0.83	King Crimson	Italiano	L1
post17719112	0.68	francisgranada	Hungarian	L2
post17720465	0.74	francisgranada	Hungarian	L2
post17723682	0.7	palomamapola	Italian	L1
post15268355	0.69	Uticens678	Italiano	L1
post17726100	0.7	Uticens678	Italiano	L1
post17722307	0.89	magosil79	italian	L1
post17722450	0.82	magosil79	italian	L1
post17725541	0.82	palomamapola	Italian	L1
post14261898	0.67	Paulfromitaly	Italian	L1
post5560955	0.68	PSICHEF	Italiano	L1
post5597969	0.67	neutrino2	Italy-Italian	L1
post5598569	0.86	neutrino2	Italy-Italian	L1
post5598828	0.56	PSICHEF	Italiano	L1
post17700702	0.5	Andy83	Italiano	L1
post17701814	0.8	dragonseven	italiano	L1
post17702170	0.79	Andy83	Italiano	L1
post17704189	0.69	dragonseven	italiano	L1
post17704226	0.73	Andy83	Italiano	L1
post17704353	0.63	Andy83	Italiano	L1
post12184178	0.78	Sempervirens	italiano	L1
post12185034	0.79	francisgranada	Hungarian	L2
post12186640	0.66	violadaprile	italian	L1
post12187892	0.8	violadaprile	italian	L1
post12188016	0.82	Sempervirens	italiano	L1
post12189424	0.74	violadaprile	italian	L1
post17697653	0.66	Gyula	Italiano	L1
post17682138	0.63	symposium	Italian - Italy	L1
post17689558	0.76	dragonseven	italiano	L1
post17647865	0.7	GabrielH	Portuguese - Brazil	L2
post17649754	0.62	bearded	Italian	L1
post17688294	0.71	francisgranada	Hungarian	L2
post17683268	0.63	GabrielH	Portuguese - Brazil	L2
post4246013	0.8	la italianilla	Italia	L1
post17656358	0.63	TheCrociato91	Italian - Northern Italy	L1
post17660050	0.74	lorenzos	italiano	L1
post17672847	0.75	GabrielH	Portuguese - Brazil	L2
post17673938	0.72	bearded	Italian	L1
post17670876	0.67	LETUSHUZI	汉语	L2
post17669426	0.81	GabrielH	Portuguese - Brazil	L2
post17669618	0.8	bearded	Italian	L1
post17670144	0.73	GabrielH	Portuguese - Brazil	L2
post17635554	0.82	bearded	Italian	L1
post17646769	0.72	francisgranada	Hungarian	L2
post17659294	0.76	Franshyska	Italiano	L1
post17658098	0.81	TheCrociato91	Italian - Northern Italy	L1
post17652278	0.74	GabrielH	Portuguese - Brazil	L2
post17652479	0.76	lorenzos	italiano	L1
post17653083	0.85	lorenzos	italiano	L1
post17656285	0.69	romolasgarai	English - UK	L2
post17656582	0.79	bearded	Italian	L1
post17656589	0.55	TheCrociato91	Italian - Northern Italy	L1
post17656705	0.59	Pietruzzo	Italian	L1
post5088157	0.76	Orpilla	Italian	L1
post17597935	0.77	romolasgarai	English - UK	L2
post10243433	0.76	Necsus	Italian (Italy)	L1
post10244205	0.66	Yulan	Italian	L1
post17646653	0.59	francisgranada	Hungarian	L2
post17645932	0.85	TheCrociato91	Italian - Northern Italy	L1
post17616514	0.7	Al.ba	Italiano	L1
post13500629	0.83	dragonseven	italiano	L1
post13510990	0.81	Connie Eyeland	Italiano	L1
post13511798	0.73	Connie Eyeland	Italiano	L1
post13511901	0.86	francisgranada	Hungarian	L2
post13512332	0.81	Connie Eyeland	Italiano	L1
post13512769	0.71	francisgranada	Hungarian	L2
post13513459	0.76	Connie Eyeland	Italiano	L1
post17630312	0.73	Hade	Poland - Polish	L2
post17632386	0.7	Hade	Poland - Polish	L2
post17633485	0.8	Hade	Poland - Polish	L2
post17615327	0.76	gfa	Italian	L1
post15556433	0.78	bearded	Italian	L1
post15557195	0.79	francisgranada	Hungarian	L2
post15557827	0.75	frugnaglio	Italian	L1
post15558173	0.8	dragonseven	italiano	L1
post15558405	0.85	bearded	Italian	L1
post15558520	0.76	Nino83	Italian	L1
post15558593	0.74	Nino83	Italian	L1
post15559142	0.78	francisgranada	Hungarian	L2
post15559391	0.79	frugnaglio	Italian	L1
post15560673	0.7	bearded	Italian	L1
post15560751	0.84	Nino83	Italian	L1
post15560966	0.77	frugnaglio	Italian	L1
post15562593	0.84	dragonseven	italiano	L1
post15564159	0.86	bearded	Italian	L1
post15564665	0.83	Nino83	Italian	L1
post15566324	0.88	dragonseven	italiano	L1
post15566641	0.76	bearded	Italian	L1
post15566736	0.67	Nino83	Italian	L1
post15566984	0.76	frugnaglio	Italian	L1
post15583916	0.83	dragonseven	italiano	L1
post15584399	0.87	francisgranada	Hungarian	L2
post15595133	0.79	Blackman	Italiano/Sardo	L1
post15598120	0.78	Blackman	Italiano/Sardo	L1
post15598236	0.69	Blackman	Italiano/Sardo	L1
post15598327	0.71	Nino83	Italian	L1
post15598754	0.75	dragonseven	italiano	L1
post15598798	0.85	Blackman	Italiano/Sardo	L1
post15599664	0.83	Nino83	Italian	L1
post15599691	0.83	bearded	Italian	L1
post15599737	0.7	Nino83	Italian	L1
post15599817	0.81	frugnaglio	Italian	L1
post15599849	0.58	Nino83	Italian	L1
post15599917	0.77	Nino83	Italian	L1
post15600053	0.72	frugnaglio	Italian	L1
post15600129	0.78	Nino83	Italian	L1
post15601028	0.84	bearded	Italian	L1
post15601123	0.76	frugnaglio	Italian	L1
post17593731	0.74	Angelomazzei2013	Italian	L1
post17611596	0.82	symposium	Italian - Italy	L1
post17610068	0.78	Starbuck	USA/English	L2
post17610158	0.77	MoltoMahler	Italian	L1
post17607132	0.78	Necsus	Italian (Italy)	L1
post17603121	0.79	wloskielove	polish	L2
post8217684	0.74	simenon	italien	L1
post8225074	0.85	simenon	italien	L1
post8244090	0.8	simenon	italien	L1
post8690713	0.46	Carlix	Italian	L1
post17550228	0.61	giginho	Italiano & Piemontese	L1
post17550461	0.56	giginho	Italiano & Piemontese	L1
post17553028	0.57	francisgranada	Hungarian	L2
post17594180	0.78	bearded	Italian	L1
post801245	0.68	Idioteque	Italy - Italian	L1
post801699	0.71	Cnaeius	Italian, Italy	L1
post15331057	0.7	bearded	Italian	L1
post15338724	0.73	francisgranada	Hungarian	L2
post15339566	0.75	bearded	Italian	L1
post17589491	0.68	sarpantra	Italian	L1
post17576622	0.74	GabrielH	Portuguese - Brazil	L2
post17541461	0.55	dragonseven	italiano	L1
post17543054	0.69	dragonseven	italiano	L1
post17543119	0.67	Pietruzzo	Italian	L1
post17543205	0.79	dragonseven	italiano	L1
post17544559	0.75	bearded	Italian	L1
post17548328	0.8	dragonseven	italiano	L1
post17548516	0.76	bearded	Italian	L1
post17548818	0.75	dragonseven	italiano	L1
post17549484	0.7	francisgranada	Hungarian	L2
post17550133	0.8	bearded	Italian	L1
post17554525	0.79	dragonseven	italiano	L1
post17554564	0.77	bearded	Italian	L1
post17555082	0.76	francisgranada	Hungarian	L2
post17555953	0.85	bearded	Italian	L1
post17557404	0.73	dragonseven	italiano	L1
post17557442	0.77	bearded	Italian	L1
post17562055	0.81	dragonseven	italiano	L1
post17557494	0.78	bearded	Italian	L1
post17561925	0.8	dragonseven	italiano	L1
post17559145	0.67	bearded	Italian	L1
post13603703	0.79	elitaliano	Italia - italiano	L1
post17547177	0.78	Sardokan1.0	Sardu / Italianu	L1
post17515277	0.65	Tom S. Fox	German	L2
post17515760	0.6	Sardokan1.0	Sardu / Italianu	L1
post17516228	0.72	bearded	Italian	L1
post17542755	0.6	sararossi	italiano - Italia	L1
post17543135	0.79	dragonseven	italiano	L1
post17538324	0.79	bearded	Italian	L1
post17544619	0.75	Sardokan1.0	Sardu / Italianu	L1
post15683995	0.84	turtle87crociato	Italiano	L1
post15686557	0.71	turtle87crociato	Italiano	L1
post17591442	0.8	turtle87crociato	Italiano	L1
post17526868	0.85	bearded	Italian	L1
post17528757	0.69	giginho	Italiano & Piemontese	L1
post17528897	0.78	dragonseven	italiano	L1
post17529009	0.66	dragonseven	italiano	L1
post17529294	0.79	bearded	Italian	L1
post17529677	0.87	dragonseven	italiano	L1
post17491703	0.78	dragonseven	italiano	L1
post17497165	0.82	Franshyska	Italiano	L1
post17525707	0.84	dragonseven	italiano	L1
post17475672	0.77	bearded	Italian	L1
post17489236	0.77	bearded	Italian	L1
post17491249	0.82	symposium	Italian - Italy	L1
post17528819	0.79	dragonseven	italiano	L1
post17507493	0.78	keramus	Persian	L2
post5499541	0.81	Paulfromitaly	Italian	L1
post5499822	0.76	saltapicchio	Italia (Roma) - Italiano	L1
post5502534	0.83	SunDraw	Veneto (Italia)	L1
post5502655	0.74	ToscanoNYC	Italian & English -US (bilingual)	L1
post5502851	0.71	andlima	Portuguese (Brazil)	L2
post15623878	0.73	emma click	italian	L1
post15624133	0.77	quasi.stellar	italiano - italiano	L1
post15624191	0.75	Nino83	Italian	L1
post15624218	0.79	quasi.stellar	italiano - italiano	L1
post15625243	0.67	emma click	italian	L1
post15625281	0.9	Paulfromitaly	Italian	L1
post15625623	0.79	quasi.stellar	italiano - italiano	L1
post15625640	0.75	Nino83	Italian	L1
post15625744	0.72	emma click	italian	L1
post15625753	0.77	Paulfromitaly	Italian	L1
post15625804	0.76	Nino83	Italian	L1
post15626128	0.84	quasi.stellar	italiano - italiano	L1
post15626157	0.69	Nino83	Italian	L1
post15626783	0.8	frugnaglio	Italian	L1
post15627773	0.79	maurizio b	italian - italy	L1
post15629927	0.76	giginho	Italiano & Piemontese	L1
post15630489	0.74	quasi.stellar	italiano - italiano	L1
post15630509	0.77	giginho	Italiano & Piemontese	L1
post15630569	0.84	quasi.stellar	italiano - italiano	L1
post15630694	0.7	giginho	Italiano & Piemontese	L1
post15630864	0.7	Nino83	Italian	L1
post17493894	0.89	Gommik	Italiano- Italia	L1
post17494968	0.8	bearded	Italian	L1
post17501650	0.69	dragonseven	italiano	L1
post17502733	0.82	francisgranada	Hungarian	L2
post17510665	0.75	dragonseven	italiano	L1
post17510684	0.69	Paulfromitaly	Italian	L1
post17513969	0.8	dragonseven	italiano	L1
post17503905	0.64	GabrielH	Portuguese - Brazil	L2
post17473594	0.65	Pietruzzo	Italian	L1
post17477677	0.8	dragonseven	italiano	L1
post17478030	0.73	bearded	Italian	L1
post17478335	0.75	dragonseven	italiano	L1
post17479028	0.77	bearded	Italian	L1
post17499494	0.78	dragonseven	italiano	L1
post17489754	0.85	Olya34	Russian	L2
post17479600	0.81	GabrielH	Portuguese - Brazil	L2
post17479815	0.81	bearded	Italian	L1
post17481412	0.77	bearded	Italian	L1
post3639711	0.78	Necsus	Italian (Italy)	L1
post9099946	0.84	annapo	Italian	L1
post11880788	0.82	cercolumi	italiano	L1
post11885048	0.82	Cosimo Piovasco	Italiano, Italia	L1
post11885076	0.78	cercolumi	italiano	L1
post11900745	0.76	francisgranada	Hungarian	L2
post13346736	0.8	Federico García Lorca	Italiano	L1
post13347200	0.83	francisgranada	Hungarian	L2
post17459625	0.77	Odysseus54	Italian - Marche	L1
post17460836	0.8	Odysseus54	Italian - Marche	L1
post17461097	0.7	dragonseven	italiano	L1
post17461099	0.85	francisgranada	Hungarian	L2
